fecha;Jornada;equipo_local;equipo_visitante;goles_local;goles_visitante;Hora;url_partido
8/02/2026;Apertura 2;Cienciano;ADC Juan Pablo II;6;1;No;https://www.sofascore.com/es-la/football/match/adc-juan-pablo-ii-cienciano/bWsgzee#id:15438840
7/02/2026;Apertura 2;Atlético Grau;Sport Huancayo;0;0;No;https://www.sofascore.com/es-la/football/match/club-atletico-grau-sport-huancayo/VCnsNanc#id:15438846
7/02/2026;Apertura 2;Cusco;Universitario;1;1;No;https://www.sofascore.com/es-la/football/match/cusco-fc-universitario-de-deportes/fWskAA#id:15438843
7/02/2026;Apertura 2;ADT;Sport Boys;1;0;No;https://www.sofascore.com/es-la/football/match/asociacion-deportiva-tarma-sport-boys/mWshlJc#id:15438954
6/02/2026;Apertura 2;Moquegua;UTC;2;3;No;https://www.sofascore.com/es-la/football/match/cd-moquegua-universidad-tecnica-de-cajamarca/ehKsYgXd#id:15438955
2/02/2026;Apertura 1;Comerciantes Unidos;Moquegua;1;0;No;https://www.sofascore.com/es-la/football/match/cd-moquegua-comerciantes-unidos/jxKbsYgXd#id:15371229
1/02/2026;Apertura 1;Universitario;ADT;2;0;No;https://www.sofascore.com/es-la/football/match/asociacion-deportiva-tarma-universitario-de-deportes/fWshlJc#id:15362084
1/02/2026;Apertura 1;Alianza Atlético;Cusco;1;0;No;https://www.sofascore.com/es-la/football/match/cusco-fc-alianza-atletico-de-sullana/hWskAA#id:15362077
1/02/2026;Apertura 1;Deportivo Garcilaso;Sporting Cristal;1;1;No;https://www.sofascore.com/es-la/football/match/deportivo-garcilaso-club-sporting-cristal/cWsJwId#id:15362090
31/01/2026;Apertura 1;Sport Boys;Los Chankas;1;1;No;https://www.sofascore.com/es-la/football/match/los-chankas-cyc-sport-boys/mWseVac#id:15362094
31/01/2026;Apertura 1;ADC Juan Pablo II;Cajamarca;3;3;No;https://www.sofascore.com/es-la/football/match/fc-cajamarca-adc-juan-pablo-ii/gzeescPHi#id:15362080
31/01/2026;Apertura 1;Melgar;Cienciano;2;0;No;https://www.sofascore.com/es-la/football/match/melgar-cienciano/bWsiW#id:15362082
30/01/2026;Apertura 1;Sport Huancayo;Alianza Lima;1;2;No;https://www.sofascore.com/es-la/football/match/sport-huancayo-alianza-lima/lWsVCn#id:15362086
30/01/2026;Apertura 1;UTC;Atlético Grau;2;0;No;https://www.sofascore.com/es-la/football/match/club-atletico-grau-universidad-tecnica-de-cajamarca/ehKsNanc#id:15362081
